;x;y;presence_effaroucheur;nb_sain;nb_tige;nb_coty;surface;ecartement;annee;cailloux;ID;region;adventice;inter_plant;effaroucheur;sol;nombre_segments;date;ravageurs;transect;nb_arrachees;nb_taupins;nb_limace;nb_lievre;sains;estim_dens;leves;viables;taux_lesions;taux_detruits
91;-0.53147601;46.11477994;NA;3289.473684;1973.684211;54605.26316;NA;76;2019;NA;77_PC_2019;PC;faible_pression;25;;inconnue;6;09/05/2019;Non;NA;NA;NA;NA;NA;NA;5.263157895;59868.42105;57894.73684;0.912087912;0.032967033
92;-0.84714053;46.14399072;NA;63214.28571;1785.714286;18928.57143;NA;56;2019;NA;54_PC_2019;PC;faible_pression;20;;inconnue;5;09/05/2019;Non;NA;NA;NA;NA;NA;NA;8.928571429;83928.57143;82142.85714;0.225531915;0.021276596
93;-1.03958416;46.18947386;NA;33333.33333;3809.52381;24444.44444;NA;63;2019;NA;37_PC_2019;PC;faible_pression;21;;inconnue;5;06/05/2019;Non;NA;NA;NA;NA;NA;NA;7.558578987;61587.30159;57777.77778;0.396907216;0.06185567
94;-0.91766076;46.10244794;NA;12571.42857;2000;56285.71429;NA;70;2019;NA;49_PC_2019;PC;faible_pression;20;;inconnue;5;09/05/2019;Non;NA;NA;NA;NA;NA;NA;7.142857143;70857.14286;68857.14286;0.794354839;0.028225806
95;0.331310732;43.7349326;NA;9333.333333;2666.666667;29666.66667;3.78;60;2019;NA;115_Gers_2019;GERS;faible_pression;17;;argilo_calcaire;5;22/05/2019;Limaces;D;NA;NA;NA;NA;NA;9.803921569;41666.66667;39000;0.712;0.064
96;-1.03825357;46.17551252;NA;16417.91045;9850.746269;26268.65672;NA;67;2019;NA;65_PC_2019;PC;faible_pression;25;;inconnue;5;09/05/2019;Non;NA;NA;NA;NA;NA;NA;5.970149254;52537.31343;42686.56716;0.5;0.1875
97;0.357618257;43.67939126;NA;54000;1250;6000;4.19;80;2019;NA;113_Gers_2019;GERS;forte_pression;15;;argilo_calcaire;5;22/05/2019;Non;D;NA;NA;NA;NA;NA;8.333333333;61250;60000;0.097959184;0.020408163
98;-0.45914346;46.43521737;NA;42943.54839;3225.806452;11895.16129;NA;62;2019;NA;67_PC_2019;PC;faible_pression;20;canon_gaz.confection_manuelle;inconnue;8;09/05/2019;Non;NA;NA;NA;NA;NA;NA;8.064516129;58064.51613;54838.70968;0.204861111;0.055555556
99;0.904877602;43.60434948;NA;41666.66667;8055.555556;9722.222222;37.3;60;2019;NA;128_Gers_2019;GERS;faible_pression;NA;;argilo_calcaire;6;27/05/2019;Limaces;B;NA;NA;NA;NA;NA;NA;59444.44444;51388.88889;0.163551402;0.135514019
100;-0.78493497;46.13409725;NA;66666.66667;0;0;NA;60;2019;NA;41_PC_2019;PC;faible_pression;24;;inconnue;5;06/05/2019;Non;NA;NA;NA;NA;NA;NA;6.944444444;66666.66667;66666.66667;0;0
